stage,profile,config_name,EbN0_dB,seed_base,seed_count,layer_order,decoder_cycles_per_iteration,syndrome_S,syndrome_Q,syndrome_valid,syndrome_tail,effective_iteration_boundary,blocks,requested_blocks,completed_requested_blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,max_iterations_observed,fraction_reaching_max_iterations,expected_latency_cycles,syndrome_pass_count,convergence_failures,undetected_errors,channel_quantizer_clip_count,app_init_saturation_count,q_sub_saturation_count,check_magnitude_clip_count,app_update_saturation_count,saturation_block_fraction,w_CH,w_APP,w_q,w_M,channel_gain,ch_to_app_shift,beta_int,beta_equiv,saturation_rule,screen_rank,screen_quality_pass,screen_retained_top5,aggregate_blocks,aggregate_block_errors,aggregate_BLER,aggregate_expected_latency_cycles
layer_order_screen,BG1_first4_high_rate,F1,4.4,74260819,500,2-3-1-0,73,8,8,True,1,74,500,500,True,1,0.00200000,0.00035314,0.01124071,21,0.0000049716,6.638000,0.055751,12,0.004000,491.212,499,1,0,5013,0,527,6343090,935367,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,13,True,False,1500,50,0.03333333,487.413
layer_order_screen,BG1_first4_high_rate,F1,4.9,79260819,500,2-3-1-0,73,8,8,True,1,74,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,4.274000,0.023128,6,0.000000,316.276,500,0,0,19688,0,951,6487357,1180111,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,13,True,False,1500,50,0.03333333,487.413
layer_order_screen,BG1_first4_high_rate,F1,4.2,72260819,500,0-1-2-3,76,8,8,True,1,77,500,500,True,44,0.08800000,0.06620598,0.11607647,2895,0.0006853693,8.634000,0.083846,12,0.128000,664.818,456,44,0,2782,0,201,5388403,573233,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,14,True,False,1500,44,0.02933333,487.975
layer_order_screen,BG1_first4_high_rate,F1,4.4,74260819,500,0-1-2-3,76,8,8,True,1,77,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,6.334000,0.055163,12,0.002000,487.718,500,0,0,5013,0,364,5852544,703474,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,14,True,False,1500,44,0.02933333,487.975
layer_order_screen,BG1_first4_high_rate,F1,4.9,79260819,500,0-1-2-3,76,8,8,True,1,77,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,4.044000,0.023943,6,0.000000,311.388,500,0,0,19688,0,960,6649940,1140821,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,14,True,False,1500,44,0.02933333,487.975
layer_order_screen,BG1_first4_high_rate,F1,4.2,72260819,500,0-3-1-2,74,8,8,True,1,75,500,500,True,49,0.09800000,0.07492392,0.12720605,3326,0.0007874053,8.852000,0.081150,12,0.144000,663.900,449,51,0,2782,0,209,5215343,488983,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,15,True,False,1500,49,0.03266667,490.650
layer_order_screen,BG1_first4_high_rate,F1,4.4,74260819,500,0-3-1-2,74,8,8,True,1,75,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,6.560000,0.054578,12,0.002000,492.000,500,0,0,5013,0,252,5594501,532722,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,15,True,False,1500,49,0.03266667,490.650
layer_order_screen,BG1_first4_high_rate,F1,4.9,79260819,500,0-3-1-2,74,8,8,True,1,75,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,4.214000,0.023356,6,0.000000,316.050,500,0,0,19688,0,663,5890942,872218,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,15,True,False,1500,49,0.03266667,490.650
layer_order_screen,BG1_first4_high_rate,F1,4.2,72260819,500,0-1-3-2,77,8,8,True,1,78,500,500,True,41,0.08200000,0.06101909,0.10935486,3088,0.0007310606,8.580000,0.083841,12,0.122000,669.240,455,45,0,2782,0,93,4898330,375254,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,16,True,False,1500,41,0.02733333,491.504
layer_order_screen,BG1_first4_high_rate,F1,4.4,74260819,500,0-1-3-2,77,8,8,True,1,78,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,6.286000,0.054317,11,0.000000,490.308,500,0,0,5013,0,324,5742556,707276,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,16,True,False,1500,41,0.02733333,491.504
